file,variable,description,values_notes
rating_data_anonymized.csv,rater_id,Study-specific anonymized identifier for each rater,"Rater IDs are anonymized and do not contain personal identifiers."
rating_data_anonymized.csv,face_id,Study-specific anonymized identifier for each face model,"Used to link rating_data_anonymized.csv with derived_face_measures.csv. This ID does not correspond to the original Chicago Face Database model ID."
rating_data_anonymized.csv,rating,Facial attractiveness rating,"Integer values from 1 to 6, where 1 = not at all attractive and 6 = very attractive."
rating_data_anonymized.csv,makeup,Makeup condition,"0 = no makeup; 1 = makeup."
rating_data_anonymized.csv,skeletal_group,Skeletal attractiveness group,"high = skeletal attractiveness high group; low = skeletal attractiveness low group."
rating_data_anonymized.csv,ethnicity,Ethnicity category of the face stimulus,"Asian American; Black; Latina; White."
rating_data_anonymized.csv,rater_gender,Self-reported gender category of the rater,"Anonymized categorical variable as used in the survey."
rating_data_anonymized.csv,rater_age_group,Age group of the rater,"Anonymized age-category variable as used in the survey."
rating_data_anonymized.csv,makeup_frequency,Self-reported makeup-use frequency of the rater,"Categorical variable as used in the survey."
rating_data_anonymized.csv,makeup_interest,Self-reported interest in makeup of the rater,"Categorical variable as used in the survey."
derived_face_measures.csv,face_id,Study-specific anonymized identifier for each face model,"Used to link derived_face_measures.csv with rating_data_anonymized.csv. This ID does not correspond to the original Chicago Face Database model ID."
derived_face_measures.csv,ethnicity,Ethnicity category of the face model,"Asian American; Black; Latina; White."
derived_face_measures.csv,r_mid,Projection-based midface position measure,"Derived from model-based landmark positions. Raw landmark coordinates are not redistributed."
derived_face_measures.csv,r_jaw_adj,Projection-based jaw-position measure adjusted for midface position,"Derived from model-based landmark positions. Raw landmark coordinates are not redistributed."
derived_face_measures.csv,z_r_mid,Robustly standardized midface position measure,"Computed within each ethnicity category using the median and median absolute deviation (MAD)."
derived_face_measures.csv,z_r_jaw_adj,Robustly standardized adjusted jaw-position measure,"Computed within each ethnicity category using the median and median absolute deviation (MAD)."
derived_face_measures.csv,skeletal_group,Skeletal attractiveness group,"high = skeletal attractiveness high group; low = skeletal attractiveness low group."
derived_face_measures.csv,type_code,Skeletal type code,"Code corresponding to the skeletal-profile classification used in the study."
